Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
xraispotlight,https://substack.com/@xraispotlight,4200,,,,https://www.linkedin.com/in/gabriele-romagnolixr/,,,,,,,,https://www.xraispotlight.com,2026-01-22 01:51:31,Technology
richholmes,https://substack.com/@richholmes,52000,,,,,,https://www.youtube.com/@departmentofproduct,,,,,,,2026-01-22 01:51:31,Technology
hodgesj,https://substack.com/@hodgesj,7300,,,,,,,,,,,,https://geni.us/JaXp,2026-01-22 01:51:32,Technology
mlwhiz,https://substack.com/@mlwhiz,11000,,,,,,,,,,,,https://www.mlwhiz.com/?utm_campaign=profile_chips,2026-01-22 01:51:32,Technology
semivision,https://substack.com/@semivision,12000,,,,,https://www.facebook.com/groups/185768246189656,,,,,,,,2026-01-22 01:51:32,Technology
pressenonstop,https://substack.com/@pressenonstop,20000,,,,,,,,,,,,https://www.canardpc.com,2026-01-22 01:51:32,Technology
francofernando,https://substack.com/@francofernando,35000,https://twitter.com/Franc0Fernand0,,,,,,,,,,,https://newsletter.francofernando.com/?utm_campaign=profile_chips,2026-01-22 01:51:32,Technology
pyquantnews,https://substack.com/@pyquantnews,0,,,,,,,,,,,,https://www.pyquantnews.com,2026-01-22 01:51:32,Technology
weshouldbefriends,https://substack.com/@weshouldbefriends,5300,,,,,,,,,,,,https://www.pauspling.com,2026-01-22 01:51:32,Technology
nitafarahany,https://substack.com/@nitafarahany,9800,,,,,,,,,,,,https://www.nitafarahany.com,2026-01-22 01:51:32,Technology
systemdesignone,https://substack.com/@systemdesignone,217000,,https://instagram.com/systemdesignone,,https://www.linkedin.com/in/nk-systemdesign-one/,,,,,,,,https://newsletter.systemdesign.one/?utm_campaign=profile_chips,2026-01-22 01:51:32,Technology
americanalchemymagazine,https://substack.com/@americanalchemymagazine,6700,,,,,,https://youtube.com/@YouTube.com/jessemichels,,,,,,,2026-01-22 01:51:32,Technology
jacobbartlett,https://substack.com/@jacobbartlett,8700,https://twitter.com/jacobtechtavern,,,https://www.linkedin.com/in/jacobmartinbartlett/,,,,,,,,https://blog.jacobstechtavern.com/?utm_campaign=profile_chips,2026-01-22 01:51:32,Technology
theaibreak,https://substack.com/@theaibreak,95000,https://twitter.com/sousa_brothers,,,https://www.linkedin.com/company/101549518,,,,,,,,,2026-01-22 01:51:32,Technology
